,deaths,dateRep
10273,0,2020-02-15
5669,0,2020-02-15
1609,0,2020-02-16
6792,0,2020-02-16
13516,0,2020-02-16
4345,0,2020-02-16
14990,0,2020-02-16
13873,0,2020-02-16
7045,0,2020-02-16
14003,0,2020-02-16
12173,0,2020-02-16
10272,0,2020-02-16
5668,0,2020-02-16
5252,0,2020-02-16
2698,0,2020-02-16
7607,0,2020-02-16
3160,142,2020-02-16
9484,0,2020-02-16
15173,0,2020-02-16
2133,0,2020-02-16
7606,0,2020-02-17
13872,0,2020-02-17
13515,0,2020-02-17
9483,0,2020-02-17
6791,0,2020-02-17
15172,0,2020-02-17
10271,0,2020-02-17
4344,0,2020-02-17
12172,0,2020-02-17
2697,0,2020-02-17
2132,0,2020-02-17
7044,0,2020-02-17
5667,0,2020-02-17
1608,0,2020-02-17
3159,105,2020-02-17
5251,0,2020-02-17
14002,0,2020-02-17
14989,0,2020-02-17
9482,0,2020-02-18
1607,0,2020-02-18
2131,0,2020-02-18
6790,0,2020-02-18
15171,0,2020-02-18
7043,0,2020-02-18
14988,0,2020-02-18
5250,0,2020-02-18
14001,0,2020-02-18
13871,0,2020-02-18
13514,0,2020-02-18
2696,0,2020-02-18
5666,0,2020-02-18
12171,0,2020-02-18
4343,0,2020-02-18
7605,0,2020-02-18
3158,98,2020-02-18
10270,0,2020-02-18
4342,0,2020-02-19
13513,0,2020-02-19
7042,0,2020-02-19
13870,0,2020-02-19
12170,0,2020-02-19
10269,0,2020-02-19
1606,0,2020-02-19
14000,0,2020-02-19
9481,0,2020-02-19
3157,139,2020-02-19
2130,0,2020-02-19
6789,0,2020-02-19
14987,0,2020-02-19
15170,0,2020-02-19
5665,0,2020-02-19
7604,0,2020-02-19
2695,0,2020-02-19
5249,0,2020-02-19
13999,0,2020-02-20
7041,2,2020-02-20
5664,0,2020-02-20
13869,0,2020-02-20
5248,0,2020-02-20
2694,0,2020-02-20
7603,0,2020-02-20
15169,0,2020-02-20
3156,112,2020-02-20
4341,0,2020-02-20
10268,0,2020-02-20
6788,0,2020-02-20
2129,0,2020-02-20
13512,0,2020-02-20
14986,0,2020-02-20
9480,0,2020-02-20
12169,0,2020-02-20
1605,0,2020-02-20
3155,118,2020-02-21
2128,0,2020-02-21
7040,0,2020-02-21
5663,0,2020-02-21
1604,0,2020-02-21
2693,0,2020-02-21
13998,0,2020-02-21
13868,0,2020-02-21
10267,0,2020-02-21
13511,0,2020-02-21
14985,0,2020-02-21
4340,0,2020-02-21
12168,0,2020-02-21
15168,0,2020-02-21
6787,0,2020-02-21
9479,0,2020-02-21
7602,0,2020-02-21
5247,0,2020-02-21
7601,0,2020-02-22
4339,0,2020-02-22
15167,0,2020-02-22
1603,0,2020-02-22
9478,0,2020-02-22
10266,0,2020-02-22
2127,0,2020-02-22
6786,0,2020-02-22
3154,109,2020-02-22
14984,0,2020-02-22
7039,2,2020-02-22
13867,0,2020-02-22
5246,0,2020-02-22
2692,0,2020-02-22
5662,0,2020-02-22
13510,0,2020-02-22
13997,0,2020-02-22
12167,0,2020-02-22
9477,0,2020-02-23
5661,0,2020-02-23
12166,0,2020-02-23
5245,0,2020-02-23
13866,0,2020-02-23
13509,0,2020-02-23
15166,0,2020-02-23
6785,0,2020-02-23
7600,2,2020-02-23
10265,0,2020-02-23
3153,98,2020-02-23
14983,0,2020-02-23
4338,0,2020-02-23
2691,0,2020-02-23
2126,0,2020-02-23
7038,1,2020-02-23
1602,0,2020-02-23
13996,0,2020-02-23
5660,0,2020-02-24
10264,0,2020-02-24
9476,0,2020-02-24
13995,0,2020-02-24
1601,0,2020-02-24
3152,150,2020-02-24
2125,0,2020-02-24
7599,0,2020-02-24
14982,0,2020-02-24
5244,0,2020-02-24
15165,0,2020-02-24
2690,0,2020-02-24
12165,0,2020-02-24
13508,0,2020-02-24
13865,0,2020-02-24
7037,3,2020-02-24
4337,0,2020-02-24
6784,0,2020-02-24
13994,0,2020-02-25
13507,0,2020-02-25
5243,0,2020-02-25
5659,0,2020-02-25
9475,0,2020-02-25
4336,0,2020-02-25
10263,0,2020-02-25
15164,0,2020-02-25
13864,0,2020-02-25
7598,4,2020-02-25
1600,0,2020-02-25
2689,0,2020-02-25
7036,4,2020-02-25
6783,0,2020-02-25
2124,0,2020-02-25
14981,0,2020-02-25
3151,70,2020-02-25
12164,0,2020-02-25
2123,0,2020-02-26
